"p","useQuadgrams","lazy","accuracy","numPredictions","meanPredictionTime","evaluationTime"
0.2,TRUE,TRUE,0.181,1,0.661542999999999,691.493
0.2,TRUE,TRUE,0.247,2,0.731848,762.319
0.2,TRUE,TRUE,0.285,3,0.777391999999999,804.569
0.2,TRUE,TRUE,0.317,4,0.759677999999999,786.331
0.2,TRUE,TRUE,0.342,5,0.764000999999998,791.766
0.2,TRUE,TRUE,0.358,6,0.781066999999995,808.516999999999
0.2,TRUE,TRUE,0.374,7,0.812180999999996,840.45
0.2,TRUE,TRUE,0.389,8,0.842712999999996,868.733999999999
0.2,TRUE,TRUE,0.401,9,0.830346999999994,858.183999999999
0.2,TRUE,TRUE,0.416,10,0.801978999999999,829.646
