"p","useQuadgrams","lazy","accuracy","meanPredictionTime","evaluationTime"
0.01,TRUE,TRUE,0.26,0.0370309999999999,38.334
0.01,TRUE,FALSE,0.254,0.0420380000000002,43.046
0.01,FALSE,TRUE,0.263,0.032778999999999,33.743
0.01,FALSE,FALSE,0.254,0.0373099999999995,38.385
0.05,TRUE,TRUE,0.298,0.203577,210.424
0.05,TRUE,FALSE,0.29,0.245608,251.133
0.05,FALSE,TRUE,0.292,0.159725999999999,166.286
0.05,FALSE,FALSE,0.285,0.195907,202.024
0.1,TRUE,TRUE,0.279,0.383795,398.684
0.1,TRUE,FALSE,0.253,0.497161000000001,509.771
0.1,FALSE,TRUE,0.274,0.302800000000005,316.407
0.1,FALSE,FALSE,0.253,0.392020999999997,405.854
0.15,TRUE,TRUE,0.298,0.582494999999998,604.381
0.15,TRUE,FALSE,0.28,0.740434000000002,760.253
0.15,FALSE,TRUE,0.296,0.446513000000003,467.51
0.15,FALSE,FALSE,0.278,0.566437000000014,586.804
0.2,TRUE,TRUE,0.342,0.772063000000006,801.636
0.2,TRUE,FALSE,0.319,1.004502,1029.83
0.2,FALSE,TRUE,0.327,0.585246999999994,615.608
0.2,FALSE,FALSE,0.298,0.744388999999999,772.449000000001
0.25,TRUE,TRUE,0.318,0.974937999999991,1012.235
0.25,TRUE,FALSE,0.294,1.32586799999999,1358.167
0.25,FALSE,TRUE,0.304,0.727629000000006,765.655000000001
0.25,FALSE,FALSE,0.28,0.933072999999995,970.381000000001
0.3,TRUE,TRUE,0.326,1.174458,1219.542
0.3,TRUE,FALSE,0.302,1.60616000000001,1642.474
0.3,FALSE,TRUE,0.312,0.847771000000006,896.061
0.3,FALSE,FALSE,0.29,1.11169000000001,1156.819
0.35,TRUE,TRUE,0.333,1.322614,1377.5
0.35,TRUE,FALSE,0.318,1.77327300000001,1820.319
0.35,FALSE,TRUE,0.326,0.979646000000001,1035.064
0.35,FALSE,FALSE,0.299,1.274273,1325.497
0.4,TRUE,TRUE,0.318,1.503929,1563.147
0.4,TRUE,FALSE,0.289,2.07817500000002,2127.114
0.4,FALSE,TRUE,0.303,1.12402,1188.912
0.4,FALSE,FALSE,0.284,1.454762,1514.793
